subject,question_text,option_a,option_b,option_c,option_d,correct_answer,order
Mathematics,"If 3x - 7 = 20, find x.",7,8,9,10,C,0
Mathematics,"Solve: x² - 5x + 6 = 0.",x=2 or 3,x=-2 or -3,x=1 or 6,x=-1 or -6,A,1
Mathematics,"Evaluate log₁₀2 + log₁₀5.",0.3010,0.6990,1.0000,1.3010,C,2
Mathematics,"A trader bought an item for ₦8,000 and sold it for ₦9,200. Find the percentage profit.",10%,12%,15%,20%,C,3
Mathematics,"The ratio of boys to girls is 5:3. If there are 24 students, how many are girls?",8,9,10,12,B,4
Mathematics,"Find sin 30°.",0,1/2,√3/2,1,B,5
Mathematics,"A car travels 180 km in 3 hours. Find its average speed.",50 km/h,55 km/h,60 km/h,65 km/h,C,6
Mathematics,"Find the mean of 6, 8, 10, 12 and 14.",9,10,11,12,B,7
Mathematics,"If P(E)=0.25, find P(E').",0.25,0.50,0.75,1.00,C,8
Mathematics,"The sum of the interior angles of a hexagon is:",540°,720°,900°,1080°,B,9
Mathematics,"Simplify (2³ × 2⁴).",32,64,128,256,C,10
Mathematics,"If y varies directly as x and y=18 when x=6, find y when x=10.",24,28,30,36,C,11
Mathematics,"Factorize x² + 7x + 12.",(x+3)(x+4),(x+2)(x+6),(x+1)(x+12),(x+5)(x+2),A,12
Mathematics,"Evaluate √225.",12,13,14,15,D,13
Mathematics,"Convert 45% to a fraction.",9/20,4/5,5/9,45/100,A,14
Mathematics,"The perimeter of a rectangle is 50 cm. If the length is 15 cm, find the width.",8 cm,10 cm,12 cm,15 cm,B,15
Mathematics,"If tan θ = 1, θ is:",30°,45°,60°,90°,B,16
Mathematics,"What is the median of 2, 4, 6, 8, 10?",4,5,6,7,C,17
Mathematics,"Find the value of 5!.",60,100,120,125,C,18
Mathematics,"Solve: 2x + 5 = 17.",5,6,7,8,B,19
Mathematics,"If x² = 81, the possible values of x are:",9 only,-9 only,9 and -9,0,C,20
Mathematics,"Simplify (3² × 3⁴) ÷ 3³.",3,9,27,81,C,21
Mathematics,"If 4x - 5 = 19, find x.",4,5,6,7,C,22
Mathematics,"Solve the simultaneous equations: x + y = 9 and x - y = 3.",x=5,y=4,x=6,y=3,x=4,y=5,x=3,y=6,B,23
Mathematics,"The nth term of the sequence 3, 6, 9, 12,... is:",2n,3n,n+3,3n+1,B,24
Mathematics,"Find the value of cos 60°.",0,1/2,√3/2,1,B,25
Mathematics,"Evaluate 7² - 5².",20,22,24,26,C,26
Mathematics,"A bag contains 5 red and 3 blue balls. What is the probability of picking a blue ball?",3/8,5/8,1/2,2/3,A,27
Mathematics,"If the simple interest on ₦5,000 at 8% per annum for 2 years is:",₦600,₦700,₦800,₦900,C,28
Mathematics,"The gradient of the line joining (2,3) and (6,11) is:",1,2,3,4,B,29
Mathematics,"Find the HCF of 24 and 36.",6,8,12,18,C,30
Mathematics,"Evaluate (2x + 3) when x = 4.",9,10,11,12,C,31
Mathematics,"The area of a circle of radius 7 cm is (Take π = 22/7):",144 cm²,154 cm²,164 cm²,176 cm²,B,32
Mathematics,"Convert 0.625 to a fraction.",1/2,5/8,3/4,7/8,B,33
Mathematics,"If log₁₀100 = x, then x =",1,2,10,100,B,34
Mathematics,"The exterior angle of a regular hexagon is:",30°,45°,60°,90°,C,35
Mathematics,"Differentiate x³ with respect to x.",x²,2x,3x²,3x,C,36
Mathematics,"Evaluate ∫4 dx.",2x,4x,C,x² + C,4x + C,D,37
Mathematics,"If tan θ = 3/4, then the opposite side is:",3,4,5,7,A,38
Mathematics,"The range of the data 5, 8, 12, 20, 25 is:",15,18,20,25,C,39
Mathematics,"If f(x)=2x+3, find f(5).",11,12,13,14,C,40
Mathematics,"In a class of 40 students, 24 offer Mathematics, 18 offer Physics and 10 offer both. How many offer neither subject?",6,8,10,12,B,41
Mathematics,"Express the binary number 1011₂ in base ten.",9,10,11,13,C,42
Mathematics,"The bearing of B from A is 135°. What is the bearing of A from B?",225°,270°,315°,045°,C,43
Mathematics,"The volume of a cube of side 5 cm is:",25 cm³,75 cm³,100 cm³,125 cm³,D,44
Mathematics,"Find the roots of x² − 9 = 0.",±3,±9,3 only,-3 only,A,45
Mathematics,"A student scored 65, 70, 80 and 85 in four tests. What is the average score?",72.5,75,77.5,80,B,46
Mathematics,"If two fair dice are thrown, what is the probability of obtaining a sum of 7?",1/12,1/9,1/6,5/36,C,47
